,不良(101-199)(站日),縣市,時間
686,1,新竹縣,
687,0,新竹市,
688,0,苗栗縣,
689,2,臺中市,
690,0,彰化縣,
691,0,南投縣,
692,0,雲林縣,
693,0,嘉義縣,
694,0,嘉義市,
695,0,臺南市,
696,2,高雄市,
697,1,屏東縣,
698,0,宜蘭縣,
699,0,花蓮縣,
700,0,臺東縣,
701,0,金門縣,
702,0,連江縣,
703,0,澎湖縣,
704,4,臺北市,2012年 9月
705,4,新北市,
706,0,桃園市,
707,0,基隆市,
708,0,新竹縣,
709,0,新竹市,
710,0,苗栗縣,
711,0,臺中市,
712,0,彰化縣,
713,0,南投縣,
714,0,雲林縣,
715,0,嘉義縣,
716,0,嘉義市,
717,0,臺南市,
718,1,高雄市,
719,2,屏東縣,
720,0,宜蘭縣,
721,0,花蓮縣,
722,0,臺東縣,
723,0,金門縣,
724,0,連江縣,
725,0,澎湖縣,
726,7,臺北市,2012年 10月
727,9,新北市,
728,2,桃園市,
729,0,基隆市,
730,0,新竹縣,
731,0,新竹市,
732,0,苗栗縣,
733,3,臺中市,
734,2,彰化縣,
735,2,南投縣,
736,0,雲林縣,
737,4,嘉義縣,
738,0,嘉義市,
739,1,臺南市,
740,19,高雄市,
741,8,屏東縣,
742,0,宜蘭縣,
743,0,花蓮縣,
744,1,臺東縣,
745,0,金門縣,
746,0,連江縣,
747,0,澎湖縣,
748,0,臺北市,2012年 11月
749,0,新北市,
750,0,桃園市,
751,0,基隆市,
752,0,新竹縣,
753,0,新竹市,
754,0,苗栗縣,
755,1,臺中市,
756,0,彰化縣,
757,1,南投縣,
758,0,雲林縣,
759,1,嘉義縣,
760,0,嘉義市,
761,2,臺南市,
762,17,高雄市,
763,11,屏東縣,
764,0,宜蘭縣,
765,0,花蓮縣,
766,0,臺東縣,
767,0,金門縣,
768,0,連江縣,
769,0,澎湖縣,
770,0,臺北市,2012年 12月
771,0,新北市,
772,0,桃園市,
773,0,基隆市,
774,0,新竹縣,
775,0,新竹市,
776,0,苗栗縣,
777,1,臺中市,
778,1,彰化縣,
779,1,南投縣,
780,0,雲林縣,
781,1,嘉義縣,
782,0,嘉義市,
783,2,臺南市,
784,15,高雄市,
785,2,屏東縣,
786,0,宜蘭縣,
787,0,花蓮縣,
788,0,臺東縣,
789,0,金門縣,
790,0,連江縣,
791,0,澎湖縣,
792,17,臺北市,2013年 1月
793,22,新北市,
794,2,桃園市,
795,0,基隆市,
796,2,新竹縣,
797,0,新竹市,
798,0,苗栗縣,
799,13,臺中市,
800,3,彰化縣,
801,7,南投縣,
802,6,雲林縣,
